,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
adrar,dz,2017-12-09,2017-12-09 14:00:00,0.0,37.0,27.87,-0.29,66.2,12.8
kirkuk,iq,2017-12-09,2017-12-09 14:47:26,0.0,70.0,35.47,44.39,42.01,5.53
gombong,id,2017-12-09,2017-12-09 14:47:26,24.0,93.0,-7.61,109.51,79.63,2.95
pisco,pe,2017-12-09,2017-12-09 14:00:00,90.0,82.0,-13.7,-76.22,68.0,5.82
vila franca do campo,pt,2017-12-09,2017-12-09 14:30:00,20.0,82.0,37.72,-25.43,68.0,6.93
atuona,pf,2017-12-09,2017-12-09 14:47:27,32.0,100.0,-9.8,-139.03,79.94,14.7
bengkulu,id,2017-12-09,2017-12-09 14:47:27,44.0,100.0,-3.8,102.27,79.63,5.64
faanui,pf,2017-12-09,2017-12-09 14:47:28,80.0,100.0,-16.48,-151.75,79.49,13.24
yarmouth,ca,2017-12-09,2017-12-09 14:04:00,90.0,93.0,43.83,-66.12,39.2,4.7
saskylakh,ru,2017-12-09,2017-12-09 14:47:28,76.0,65.0,71.92,114.08,-13.84,5.19
albany,au,2017-12-09,2017-12-09 14:47:06,20.0,50.0,-35.02,117.89,69.95,1.05
severo-kurilsk,ru,2017-12-09,2017-12-09 14:47:29,64.0,100.0,50.68,156.12,32.24,19.95
bestobe,kz,2017-12-09,2017-12-09 14:47:29,0.0,77.0,52.5,73.1,25.4,12.46
paamiut,gl,2017-12-09,2017-12-09 14:47:30,92.0,89.0,61.99,-49.67,34.04,9.89
mosquera,co,2017-12-09,2017-12-09 14:00:00,40.0,63.0,4.71,-74.23,62.6,3.36
cashel,ie,2017-12-09,2017-12-09 14:47:30,88.0,86.0,52.52,-7.89,36.43,4.63
pangnirtung,ca,2017-12-09,2017-12-09 14:47:31,76.0,92.0,66.15,-65.71,18.29,3.4
hilo,us,2017-12-09,2017-12-09 13:56:00,1.0,82.0,19.73,-155.09,60.8,6.93
kishi,ng,2017-12-09,2017-12-09 14:47:31,56.0,36.0,9.08,3.85,84.4,8.1
porto walter,br,2017-12-09,2017-12-09 14:47:32,0.0,73.0,-8.27,-72.74,87.46,2.95
tazmalt,dz,2017-12-09,2017-12-09 14:47:32,92.0,100.0,36.39,4.4,48.44,1.39
mao,td,2017-12-09,2017-12-09 14:47:32,0.0,16.0,14.12,15.31,85.61,7.2
bethel,us,2017-12-09,2017-12-09 14:40:00,90.0,92.0,41.37,-73.41,37.4,6.93
georgetown,sh,2017-12-09,2017-12-09 14:00:00,75.0,94.0,6.8,-58.16,78.8,9.17
luba,gq,2017-12-09,2017-12-09 14:47:33,68.0,100.0,3.46,8.55,78.05,10.89
briceni,md,2017-12-09,2017-12-09 14:47:33,8.0,87.0,48.36,27.7,39.85,10.45
mount isa,au,2017-12-09,2017-12-09 14:00:00,0.0,14.0,-20.73,139.5,87.8,12.75
kupang,id,2017-12-09,2017-12-09 14:00:00,40.0,94.0,-10.17,123.58,77.0,3.06
antofagasta,cl,2017-12-09,2017-12-09 14:00:00,20.0,59.0,-23.65,-70.4,66.2,11.41
sitka,us,2017-12-09,2017-12-09 13:53:00,90.0,62.0,57.05,-135.33,51.8,18.34
acandi,co,2017-12-09,2017-12-09 14:47:35,64.0,100.0,8.51,-77.28,77.96,2.39
vostok,ru,2017-12-09,2017-12-09 14:47:35,12.0,31.0,46.49,135.88,-22.48,1.95
